content_format,target,model_family,feature,feature_group,importance_type,importance_value,importance_rank,direction,notes
shorts,future_log_views_delta_7d,random_forest_regressor,decision_score,model_decision,impurity_importance,0.00036819,18,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,description_length_chars,engagement_context,permutation_importance_mean,-0.00036014,9,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,description_length_chars,engagement_context,permutation_importance_std,4.548e-05,9,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,description_length_chars,engagement_context,impurity_importance,0.00043379,9,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,description_word_count,engagement_context,permutation_importance_mean,0.00014064,13,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,description_word_count,engagement_context,permutation_importance_std,2.921e-05,13,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,description_word_count,engagement_context,impurity_importance,0.00024079,13,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,engagement_rate,engagement_context,permutation_importance_mean,0.00075964,6,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,engagement_rate,engagement_context,permutation_importance_std,0.000153,6,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,engagement_rate,engagement_context,impurity_importance,0.00071608,6,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,evergreen_score,engagement_context,permutation_importance_mean,0.0003769,8,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,evergreen_score,engagement_context,permutation_importance_std,0.00011088,8,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,evergreen_score,engagement_context,impurity_importance,0.00061136,8,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,finance_semantic_score,semantic_scores,permutation_importance_mean,-7.4e-07,47,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,finance_semantic_score,semantic_scores,permutation_importance_std,4.4e-07,47,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,finance_semantic_score,semantic_scores,impurity_importance,5.68e-06,47,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,has_ai_word,engagement_context,permutation_importance_mean,3.836e-05,20,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,has_ai_word,engagement_context,permutation_importance_std,2.03e-06,20,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,has_ai_word,engagement_context,impurity_importance,4.322e-05,20,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,has_finance_word,engagement_context,permutation_importance_mean,6.5e-07,48,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,has_finance_word,engagement_context,permutation_importance_std,3.2e-07,48,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,has_finance_word,engagement_context,impurity_importance,3.05e-06,48,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,has_number,engagement_context,permutation_importance_mean,-5.97e-06,33,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,has_number,engagement_context,permutation_importance_std,9.98e-06,33,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,has_number,engagement_context,impurity_importance,2.445e-05,33,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,has_question,engagement_context,permutation_importance_mean,4.49e-06,35,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,has_question,engagement_context,permutation_importance_std,8.87e-06,35,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,has_question,engagement_context,impurity_importance,3.231e-05,35,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hybrid_decision_score,model_decision,permutation_importance_mean,0.00335927,3,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hybrid_decision_score,model_decision,permutation_importance_std,8.709e-05,3,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hybrid_decision_score,model_decision,impurity_importance,0.00220685,3,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,metadata_changed,metadata,permutation_importance_mean,0.0,57,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,metadata_changed,metadata,permutation_importance_std,0.0,57,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,metadata_changed,metadata,impurity_importance,0.0,57,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,metric_confidence_score,engagement_context,permutation_importance_mean,0.00171493,5,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,metric_confidence_score,engagement_context,permutation_importance_std,9.89e-05,5,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,metric_confidence_score,engagement_context,impurity_importance,0.00218262,5,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,news_semantic_score,semantic_scores,permutation_importance_mean,-4.4e-07,50,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,news_semantic_score,semantic_scores,permutation_importance_std,3.4e-06,50,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,news_semantic_score,semantic_scores,impurity_importance,1.165e-05,50,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,opportunity_score,engagement_context,permutation_importance_mean,0.00010593,15,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,opportunity_score,engagement_context,permutation_importance_std,7.647e-05,15,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,opportunity_score,engagement_context,impurity_importance,0.00091071,15,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,packaging_problem_score,engagement_context,permutation_importance_mean,0.00020812,12,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,packaging_problem_score,engagement_context,permutation_importance_std,0.00019724,12,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,packaging_problem_score,engagement_context,impurity_importance,0.00107378,12,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,productivity_semantic_score,semantic_scores,permutation_importance_mean,0.0,58,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,productivity_semantic_score,semantic_scores,permutation_importance_std,0.0,58,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,productivity_semantic_score,semantic_scores,impurity_importance,0.0,58,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,promise_semantic_score,semantic_scores,permutation_importance_mean,1e-07,53,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,promise_semantic_score,semantic_scores,permutation_importance_std,3.2e-07,53,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,promise_semantic_score,semantic_scores,impurity_importance,5.8e-07,53,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_id,semantic_cluster,permutation_importance_mean,2.058e-05,24,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_id,semantic_cluster,permutation_importance_std,9.82e-06,24,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_id,semantic_cluster,impurity_importance,9.24e-05,24,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_currency,title_style,permutation_importance_mean,0.0,59,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_currency,title_style,permutation_importance_std,0.0,59,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_currency,title_style,impurity_importance,0.0,59,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_number,title_style,permutation_importance_mean,3.2e-07,51,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_number,title_style,permutation_importance_std,7.2e-06,51,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_number,title_style,impurity_importance,2.459e-05,51,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_question,title_style,permutation_importance_mean,1.843e-05,26,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_question,title_style,permutation_importance_std,6.55e-06,26,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_question,title_style,impurity_importance,3.083e-05,26,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_year,title_style,permutation_importance_mean,-2e-08,56,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_year,title_style,permutation_importance_std,9e-08,56,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_year,title_style,impurity_importance,9.1e-07,56,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,title_length_chars,title_style,permutation_importance_mean,-0.00043692,7,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_length_chars,title_style,permutation_importance_std,5.912e-05,7,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_length_chars,title_style,impurity_importance,0.00045058,7,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,title_word_count,title_style,permutation_importance_mean,0.00022661,11,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_word_count,title_style,permutation_importance_std,3.209e-05,11,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_word_count,title_style,impurity_importance,0.00024818,11,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_confidence,topic_metrics,permutation_importance_mean,-6.523e-05,17,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_confidence,topic_metrics,permutation_importance_std,1.488e-05,17,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_confidence,topic_metrics,impurity_importance,4.011e-05,17,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_opportunity_score,topic_metrics,permutation_importance_mean,2.86e-06,39,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_opportunity_score,topic_metrics,permutation_importance_std,8.89e-06,39,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_opportunity_score,topic_metrics,impurity_importance,4.433e-05,39,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_saturation_score,topic_metrics,permutation_importance_mean,3.3e-06,37,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_saturation_score,topic_metrics,permutation_importance_std,5e-07,37,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_saturation_score,topic_metrics,impurity_importance,4.313e-05,37,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,trend_burst_score,engagement_context,permutation_importance_mean,1.5e-06,44,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,trend_burst_score,engagement_context,permutation_importance_std,4.9e-07,44,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,trend_burst_score,engagement_context,impurity_importance,2.75e-06,44,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,tutorial_semantic_score,semantic_scores,permutation_importance_mean,7.53e-06,30,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,tutorial_semantic_score,semantic_scores,permutation_importance_std,4.2e-07,30,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,tutorial_semantic_score,semantic_scores,impurity_importance,1.408e-05,30,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,urgency_semantic_score,semantic_scores,permutation_importance_mean,6.644e-05,16,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,urgency_semantic_score,semantic_scores,permutation_importance_std,6.307e-05,16,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,urgency_semantic_score,semantic_scores,impurity_importance,0.00011982,16,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,views_delta,engagement_context,permutation_importance_mean,1.83791575,1,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,views_delta,engagement_context,permutation_importance_std,0.02144196,1,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,views_delta,engagement_context,impurity_importance,0.97549716,1,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,warning_semantic_score,semantic_scores,permutation_importance_mean,-5.9e-07,49,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,warning_semantic_score,semantic_scores,permutation_importance_std,3.3e-06,49,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,warning_semantic_score,semantic_scores,impurity_importance,1.704e-05,49,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__ai,title_style,permutation_importance_mean,-6.18e-06,32,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__ai,title_style,permutation_importance_std,2.28e-06,32,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__ai,title_style,impurity_importance,1.709e-05,32,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__curiosity,title_style,permutation_importance_mean,-2.19e-06,42,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__curiosity,title_style,permutation_importance_std,6.6e-07,42,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__curiosity,title_style,impurity_importance,4e-06,42,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__finance,title_style,permutation_importance_mean,7e-08,55,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__finance,title_style,permutation_importance_std,2.6e-07,55,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__finance,title_style,impurity_importance,3.14e-06,55,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__news,title_style,permutation_importance_mean,-9.4e-07,45,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__news,title_style,permutation_importance_std,4.51e-06,45,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__news,title_style,impurity_importance,2.114e-05,45,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__promise,title_style,permutation_importance_mean,8e-08,54,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__promise,title_style,permutation_importance_std,1.6e-07,54,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__promise,title_style,impurity_importance,6.1e-07,54,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__tutorial,title_style,permutation_importance_mean,4.58e-06,34,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__tutorial,title_style,permutation_importance_std,3.4e-07,34,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__tutorial,title_style,impurity_importance,9.89e-06,34,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__unknown,title_style,permutation_importance_mean,-3.937e-05,19,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__unknown,title_style,permutation_importance_std,4.35e-06,19,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__unknown,title_style,impurity_importance,3.044e-05,19,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__warning,title_style,permutation_importance_mean,-1.986e-05,25,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__warning,title_style,permutation_importance_std,4.25e-06,25,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,hook_semantic_type__warning,title_style,impurity_importance,1.941e-05,25,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__de_la_en,semantic_cluster,permutation_importance_mean,2.314e-05,22,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__de_la_en,semantic_cluster,permutation_importance_std,8.1e-06,22,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__de_la_en,semantic_cluster,impurity_importance,2.789e-05,22,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__dijo_esto_dijo_esto_shorts,semantic_cluster,permutation_importance_mean,-3.94e-06,36,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__dijo_esto_dijo_esto_shorts,semantic_cluster,permutation_importance_std,2.98e-06,36,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__dijo_esto_dijo_esto_shorts,semantic_cluster,impurity_importance,2.342e-05,36,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__el_de_en,semantic_cluster,permutation_importance_mean,-1.519e-05,27,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__el_de_en,semantic_cluster,permutation_importance_std,7.94e-06,27,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__el_de_en,semantic_cluster,impurity_importance,7.083e-05,27,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__sign_up_liv_on_on_youtube,semantic_cluster,permutation_importance_mean,0.0,60,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__sign_up_liv_on_on_youtube,semantic_cluster,permutation_importance_std,0.0,60,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__sign_up_liv_on_on_youtube,semantic_cluster,impurity_importance,0.0,60,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__the_in_of,semantic_cluster,permutation_importance_mean,8.11e-06,29,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__the_in_of,semantic_cluster,permutation_importance_std,1.93e-06,29,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__the_in_of,semantic_cluster,impurity_importance,1.976e-05,29,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__to_may_2026,semantic_cluster,permutation_importance_mean,3.731e-05,21,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__to_may_2026,semantic_cluster,permutation_importance_std,2.81e-06,21,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__to_may_2026,semantic_cluster,impurity_importance,2.213e-05,21,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__trump_on_of,semantic_cluster,permutation_importance_mean,2.102e-05,23,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__trump_on_of,semantic_cluster,permutation_importance_std,2.61e-06,23,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_label__trump_on_of,semantic_cluster,impurity_importance,1.813e-05,23,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__ai_tools,topic_metrics,permutation_importance_mean,1.069e-05,28,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__ai_tools,topic_metrics,permutation_importance_std,8.24e-06,28,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__ai_tools,topic_metrics,impurity_importance,3.12e-05,28,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__finance_personal,topic_metrics,permutation_importance_mean,3e-07,52,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__finance_personal,topic_metrics,permutation_importance_std,4.8e-07,52,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__finance_personal,topic_metrics,impurity_importance,4.28e-06,52,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__news_trends,topic_metrics,permutation_importance_mean,8.1e-07,46,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__news_trends,topic_metrics,permutation_importance_std,4.64e-06,46,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__news_trends,topic_metrics,impurity_importance,2.838e-05,46,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__productivity,topic_metrics,permutation_importance_mean,0.0,61,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__productivity,topic_metrics,permutation_importance_std,0.0,61,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__productivity,topic_metrics,impurity_importance,0.0,61,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__tutorial,topic_metrics,permutation_importance_mean,7.4e-06,31,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__tutorial,topic_metrics,permutation_importance_std,4e-07,31,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__tutorial,topic_metrics,impurity_importance,1.317e-05,31,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__unknown,topic_metrics,permutation_importance_mean,2.59e-06,41,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__unknown,topic_metrics,permutation_importance_std,2.26e-06,41,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_primary__unknown,topic_metrics,impurity_importance,8.77e-06,41,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__ai_tools,topic_metrics,permutation_importance_mean,3.3e-06,38,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__ai_tools,topic_metrics,permutation_importance_std,1.62e-06,38,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__ai_tools,topic_metrics,impurity_importance,3.09e-05,38,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__finance_personal,topic_metrics,permutation_importance_mean,0.0,62,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__finance_personal,topic_metrics,permutation_importance_std,0.0,62,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__finance_personal,topic_metrics,impurity_importance,0.0,62,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__news_trends,topic_metrics,permutation_importance_mean,0.0,63,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__news_trends,topic_metrics,permutation_importance_std,0.0,63,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__news_trends,topic_metrics,impurity_importance,0.0,63,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__productivity,topic_metrics,permutation_importance_mean,0.0,64,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__productivity,topic_metrics,permutation_importance_std,0.0,64,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__productivity,topic_metrics,impurity_importance,0.0,64,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__tutorial,topic_metrics,permutation_importance_mean,0.0,65,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__tutorial,topic_metrics,permutation_importance_std,0.0,65,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__tutorial,topic_metrics,impurity_importance,0.0,65,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__unknown,topic_metrics,permutation_importance_mean,-1.62e-06,43,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__unknown,topic_metrics,permutation_importance_std,3.85e-06,43,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,topic_secondary__unknown,topic_metrics,impurity_importance,1.776e-05,43,negative,secondary
shorts,future_log_views_delta_7d,linear_regularized_regressor,ai_semantic_score,semantic_scores,standardized_coefficient,-0.04068867,22,negative,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,alpha_score,engagement_context,standardized_coefficient,3.80804223,1,positive,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,channel_momentum_score,channel_context,standardized_coefficient,-0.42106748,3,negative,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,channel_relative_success_score,channel_context,standardized_coefficient,-0.00838099,52,negative,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,curiosity_semantic_score,semantic_scores,standardized_coefficient,0.03625068,29,positive,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,decision_score,model_decision,standardized_coefficient,-0.24116755,6,negative,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,description_length_chars,engagement_context,standardized_coefficient,-0.0751851,13,negative,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,description_word_count,engagement_context,standardized_coefficient,0.04432345,19,positive,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,engagement_rate,engagement_context,standardized_coefficient,-0.12875015,9,negative,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,evergreen_score,engagement_context,standardized_coefficient,0.03645112,28,positive,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,finance_semantic_score,semantic_scores,standardized_coefficient,-0.10516135,10,negative,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,has_ai_word,engagement_context,standardized_coefficient,8.532e-05,62,positive,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,has_finance_word,engagement_context,standardized_coefficient,-0.03302909,30,negative,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,has_number,engagement_context,standardized_coefficient,-0.01096426,49,negative,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,has_question,engagement_context,standardized_coefficient,-0.01667696,41,negative,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,hybrid_decision_score,model_decision,standardized_coefficient,0.27922872,5,positive,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,metadata_changed,metadata,standardized_coefficient,0.00658427,54,positive,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,metric_confidence_score,engagement_context,standardized_coefficient,-0.06528063,14,negative,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,news_semantic_score,semantic_scores,standardized_coefficient,-0.03824085,24,negative,primary
shorts,future_log_views_delta_7d,linear_regularized_regressor,opportunity_score,engagement_context,standardized_coefficient,-1.76723768,2,negative,primary
